CNT,CNTRYID,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,W_FSTURWT1,W_FSTURWT2,W_FSTURWT3,W_FSTURWT4,W_FSTURWT5,W_FSTURWT6,W_FSTURWT7,W_FSTURWT8,W_FSTURWT9,W_FSTURWT10,W_FSTURWT11,W_FSTURWT12,W_FSTURWT13,W_FSTURWT14,W_FSTURWT15,W_FSTURWT16,W_FSTURWT17,W_FSTURWT18,W_FSTURWT19,W_FSTURWT20,W_FSTURWT21,W_FSTURWT22,W_FSTURWT23,W_FSTURWT24,W_FSTURWT25,W_FSTURWT26,W_FSTURWT27,W_FSTURWT28,W_FSTURWT29,W_FSTURWT30,W_FSTURWT31,W_FSTURWT32,W_FSTURWT33,W_FSTURWT34,W_FSTURWT35,W_FSTURWT36,W_FSTURWT37,W_FSTURWT38,W_FSTURWT39,W_FSTURWT40,W_FSTURWT41,W_FSTURWT42,W_FSTURWT43,W_FSTURWT44,W_FSTURWT45,W_FSTURWT46,W_FSTURWT47,W_FSTURWT48,W_FSTURWT49,W_FSTURWT50,W_FSTURWT51,W_FSTURWT52,W_FSTURWT53,W_FSTURWT54,W_FSTURWT55,W_FSTURWT56,W_FSTURWT57,W_FSTURWT58,W_FSTURWT59,W_FSTURWT60,W_FSTURWT61,W_FSTURWT62,W_FSTURWT63,W_FSTURWT64,W_FSTURWT65,W_FSTURWT66,W_FSTURWT67,W_FSTURWT68,W_FSTURWT69,W_FSTURWT70,W_FSTURWT71,W_FSTURWT72,W_FSTURWT73,W_FSTURWT74,W_FSTURWT75,W_FSTURWT76,W_FSTURWT77,W_FSTURWT78,W_FSTURWT79,W_FSTURWT80,male,ESCS
ALB,8,3.15874,179.583,201.334,222.248,194.943,222.755,213.1,221.021,293.71,226.912,254.745,4.74716,1.56827,1.59281,1.56609,4.742,1.57824,4.71587,1.59336,4.70887,4.77874,4.72634,4.70898,1.60898,1.57351,4.67259,1.59631,1.58971,4.68497,4.73503,1.59094,1.57616,4.77874,4.70191,4.789,1.57824,4.742,1.58779,4.6922,1.59094,1.56827,1.58274,1.58971,4.66661,4.75539,1.6053,4.68497,4.70898,1.59631,1.58021,4.70887,4.74716,1.56827,1.59281,1.56609,4.742,1.57824,4.71587,1.59336,4.70887,4.77874,4.72634,4.70898,1.60898,1.57351,4.67259,1.59631,1.58971,4.68497,4.73503,1.59094,1.57616,4.77874,4.70191,4.789,1.57824,4.742,1.58779,4.6922,1.59094,1.56827,1.58274,1.58971,4.66661,4.75539,1.6053,4.68497,4.70898,1.59631,1.58021,4.70887,0,1.1112
ALB,8,4.34524,308.247,304.444,316.129,234.353,323.448,303.435,333.178,288.888,343.157,329.659,6.48246,6.14716,2.06854,2.28442,1.95997,2.14313,6.61836,2.30297,6.19507,2.18442,6.41272,6.71308,6.50842,6.469,2.13283,2.08445,6.23457,2.15395,2.37507,7.09994,6.47215,6.85094,2.07322,2.02228,2.18619,2.41021,5.91623,2.07857,6.27519,2.18759,7.03889,6.71977,6.48979,6.49614,2.14919,2.29834,6.25978,2.12833,2.16631,6.40402,6.48246,6.14716,2.06854,2.28442,1.95997,2.14313,6.61836,2.30297,6.19507,2.18442,6.41272,6.71308,6.50842,6.469,2.13283,2.08445,6.23457,2.15395,2.37507,7.09994,6.47215,6.85094,2.07322,2.02228,2.18619,2.41021,5.91623,2.07857,6.27519,2.18759,7.03889,6.71977,6.48979,6.49614,2.14919,2.29834,6.25978,2.12833,2.16631,6.40402,1,-3.0507
ALB,8,7.8386,267.514,343.743,327.157,290.771,316.227,309.451,323.337,307.508,356.244,295.401,11.93474,3.89847,11.58218,3.95338,3.9193,11.63697,11.75791,3.94162,3.87899,3.88857,3.88857,11.63697,3.95338,11.66572,3.97825,11.72614,11.89675,11.86015,11.79079,3.96558,11.93474,3.89847,11.58218,3.95338,3.9193,11.63697,11.75791,3.94162,3.87899,3.88857,3.88857,11.63697,3.95338,11.66572,3.97825,11.72614,11.89675,11.86015,11.79079,3.96558,11.93474,3.89847,11.58218,3.95338,3.9193,11.63697,11.75791,3.94162,3.87899,3.88857,3.88857,11.63697,3.95338,11.66572,3.97825,11.72614,11.89675,11.86015,11.79079,3.96558,11.93474,3.89847,11.58218,3.95338,3.9193,11.63697,11.75791,3.94162,3.87899,3.88857,3.88857,11.63697,3.95338,11.66572,3.97825,11.72614,11.89675,11.86015,11.79079,3.96558,1,-0.1867
ALB,8,8.49148,272.649,300.642,226.409,316.835,288.861,321.268,312.063,334.765,283.916,329.915,11.90054,4.2441,4.38065,12.37512,4.36211,12.36315,4.02779,11.87729,11.73816,12.95808,13.40675,4.32642,4.39283,13.71947,4.36407,3.97678,12.80943,13.58777,4.56041,4.45577,11.62173,4.22617,4.35928,12.13327,4.30577,12.31688,4.01706,11.84146,11.70012,12.78011,13.33291,4.26345,4.37246,13.54249,4.2901,3.89787,12.63254,13.52265,4.53649,4.41118,11.90318,4.2463,4.38324,12.38246,4.36492,12.35823,4.02546,11.88128,11.7303,12.95451,13.41054,4.32801,4.39112,13.71079,4.36109,3.97588,12.81817,13.58093,4.5619,4.4548,11.62443,4.22833,4.36183,12.14082,4.30858,12.31204,4.01469,11.84551,11.69238,12.77653,13.33664,4.26505,4.37072,13.53378,4.28703,3.89696,12.64158,13.51571,4.538,4.41017,0,-3.2198
ALB,8,3.70957,435.473,491.174,478.365,454.352,491.031,504.919,468.401,463.913,470.627,499.257,5.57276,5.57276,1.7822,1.85209,5.3466,1.92768,1.78474,5.55627,5.35422,1.85209,1.93663,1.93663,1.85759,5.57276,1.85209,5.55627,1.78474,5.55627,5.78305,5.8099,5.57276,5.57276,1.7822,1.85209,5.3466,1.92768,1.78474,5.55627,5.35422,1.85209,1.93663,1.93663,1.85759,5.57276,1.85209,5.55627,1.78474,5.55627,5.78305,5.8099,5.57276,5.57276,1.7822,1.85209,5.3466,1.92768,1.78474,5.55627,5.35422,1.85209,1.93663,1.93663,1.85759,5.57276,1.85209,5.55627,1.78474,5.55627,5.78305,5.8099,5.57276,5.57276,1.7822,1.85209,5.3466,1.92768,1.78474,5.55627,5.35422,1.85209,1.93663,1.93663,1.85759,5.57276,1.85209,5.55627,1.78474,5.55627,5.78305,5.8099,0,-1.0548
ALB,8,4.25946,534.112,547.822,530.675,482.761,535.365,491.129,519.928,526.671,535.866,508.503,2.04946,6.35335,6.35335,2.04946,2.04946,6.35335,6.35335,6.35335,6.35335,2.04946,6.35335,2.04946,6.35335,2.04946,2.04946,2.04946,2.04946,6.35335,6.35335,2.04946,2.04946,6.35335,6.35335,2.04946,2.04946,6.35335,6.35335,6.35335,6.35335,2.04946,6.35335,2.04946,6.35335,2.04946,2.04946,2.04946,2.04946,6.35335,6.35335,2.04946,6.59165,2.13936,2.13936,6.59165,6.59165,2.13936,2.13936,2.13936,2.13936,6.59165,2.13936,6.59165,2.13936,6.59165,6.59165,6.59165,6.59165,2.13936,2.13936,6.59165,6.59165,2.13936,2.13936,6.59165,6.59165,2.13936,2.13936,2.13936,2.13936,6.59165,2.13936,6.59165,2.13936,6.59165,6.59165,6.59165,6.59165,2.13936,2.13936,6.59165,1,1.0855
ALB,8,5.12361,381.584,248.603,345.482,368.548,297.281,338.823,343.494,342.667,431.052,371.037,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,7.63858,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,2.57372,1,-0.7623
ALB,8,6.30517,273.196,271.992,252.552,253.62,240.256,294.314,230.519,263.477,257.443,245.622,9.3188,9.57522,9.61458,9.54402,9.30162,9.57522,9.30894,9.64536,9.31331,9.3188,9.30484,9.30162,9.62946,9.56558,9.29793,9.57731,9.57731,9.30894,9.30096,9.54402,9.5341,9.31796,9.30484,9.3141,9.57731,9.31796,9.60064,9.29731,9.58755,9.5341,9.61458,9.57731,9.30096,9.30553,9.58977,9.30162,9.30162,9.60064,9.62946,9.3141,9.5341,9.31796,9.30484,9.3141,9.57731,9.31796,9.60064,9.29731,9.58755,9.5341,9.61458,9.57731,9.30096,9.30553,9.58977,9.30162,9.30162,9.60064,9.62946,9.3141,9.3188,9.57522,9.61458,9.54402,9.30162,9.57522,9.30894,9.64536,9.31331,9.3188,9.30484,9.30162,9.62946,9.56558,9.29793,9.57731,9.57731,9.30894,9.30096,9.54402,0,-1.0237
ALB,8,2.9187,355.148,333.413,334.755,407.842,363.861,327.408,315.14,296.752,273.682,403.659,1.45935,1.45935,4.37804,1.45935,1.45935,1.45935,1.45935,4.37804,4.37804,1.45935,4.37804,4.37804,1.45935,1.45935,4.37804,4.37804,4.37804,4.37804,1.45935,4.37804,4.37804,4.37804,1.45935,4.37804,4.37804,4.37804,4.37804,1.45935,1.45935,4.37804,1.45935,1.45935,4.37804,4.37804,1.45935,1.45935,1.45935,1.45935,4.37804,1.45935,1.45935,1.45935,4.37804,1.45935,1.45935,1.45935,1.45935,4.37804,4.37804,1.45935,4.37804,4.37804,1.45935,1.45935,4.37804,4.37804,4.37804,4.37804,1.45935,4.37804,4.37804,4.37804,1.45935,4.37804,4.37804,4.37804,4.37804,1.45935,1.45935,4.37804,1.45935,1.45935,4.37804,4.37804,1.45935,1.45935,1.45935,1.45935,4.37804,1.45935,0,-1.1697
ALB,8,7.87616,429.818,468.273,476.487,505.898,458.665,497.887,475.85,435.456,457.52,506.639,12.95562,3.81309,3.98665,4.12669,11.5513,4.31854,11.43928,4.11708,12.38008,11.56123,12.35125,11.68894,4.02944,4.22692,11.07297,3.73903,4.07739,11.94276,10.8795,4.17198,11.83067,3.97708,4.07355,3.93984,11.8031,3.94356,11.93124,3.85043,11.81951,10.81245,11.5513,11.42392,3.93808,4.12886,11.52416,3.71823,3.9828,11.4285,10.79841,4.07739,3.84139,11.43928,11.16967,11.53528,3.85043,11.52416,3.81309,11.8031,3.84509,4.22293,3.93437,3.9828,11.54016,11.05857,3.94356,12.23824,11.42392,3.98092,4.22924,11.1589,3.69099,12.49797,11.94319,11.57628,4.11708,11.07297,4.16599,11.5513,3.85876,4.13285,3.85043,4.07739,11.81424,11.31512,4.31854,12.85065,11.68894,3.98642,4.4528,11.42392,0,0.2857
