fem,ment,phd,mar,kid5,art
0,7.9999986,1.38,1,2,3
0,6.9999995,4.29,0,0,0
0,47.0000076,3.8499999,0,0,4
0,19.0000019,3.5899999,1,1,1
0,0,1.8099999,1,0,1
0,6.0000005,3.5899999,1,1,1
0,9.999999,2.1199999,1,1,0
0,1.9999999,4.29,1,0,0
0,1.9999999,2.5799999,1,2,3
0,3.999999,1.8,1,1,3
0,0,4.29,1,2,1
0,3,2.76,1,1,0
0,9.999999,3.4100001,1,1,1
0,6.9999995,4.3400002,1,3,2
0,15.000001,3.8499999,1,2,5
0,1.9999999,2.0999999,1,0,2
0,13,4.29,1,0,2
0,15.000001,4.29,0,0,1
0,4.9999981,2.26,1,1,0
0,6.0000005,2.0999999,0,0,0
0,12,2.26,1,0,3
0,15.9999981,3.8499999,1,1,6
0,6.9999995,4.29,0,0,4
0,6.0000005,1.8,1,2,2
0,1.9999999,2.26,0,0,2
0,0,2.0999999,0,0,0
0,30.0000019,4.29,1,0,4
0,9.999999,4.29,1,2,1
0,1.9999999,2.0999999,1,0,1
0,0.9999999,3.5899999,1,0,7
0,3,3.4200001,1,1,2
0,9.999999,4.29,1,2,2
0,9.999999,4.29,0,0,2
0,0.9999999,3.3399999,1,2,0
0,1.9999999,4.29,0,0,0
0,10.9999971,4.29,1,0,1
0,4.9999981,3.6199999,1,0,4
0,0,4.29,1,3,1
0,3.999999,4.3400002,1,1,1
0,1.9999999,1.25,1,1,2
0,19.0000019,4.3400002,0,0,7
0,3,1.67,1,3,1
0,0,3.47,0,0,0
0,0.9999999,2.26,1,1,1
0,0.9999999,1.8,1,0,1
0,17,4.3400002,1,2,2
0,3,3.5899999,0,0,2
0,0.9999999,1.75,1,2,1
0,6.0000005,4.29,0,0,1
0,0,2.0999999,1,1,0
0,15.000001,4.29,1,2,0
0,0,2.0999999,1,1,0
0,26.9999981,3.3199999,1,2,2
0,4.9999981,4.3400002,1,0,2
0,6.9999995,3.4100001,0,0,4
0,0,4.29,1,0,1
0,10.9999971,3.1900001,1,0,2
0,13,4.29,1,0,2
0,3.999999,1.74,1,2,1
0,3.999999,2.76,0,0,1
0,26.9999981,3.5899999,1,1,7
0,9.999999,1.8099999,1,0,4
0,13,4.29,1,1,2
0,0.9999999,4.29,1,1,1
0,6.0000005,2.76,0,0,1
0,6.0000005,3.47,0,0,6
0,4.9999981,2.5,1,2,2
0,1.9999999,1.25,1,0,5
0,13.9999971,3.5899999,1,1,3
0,0,2.0999999,1,1,0
0,12,3.5899999,1,0,1
0,6.9999995,3.5899999,1,3,0
0,3,1.75,1,0,1
0,1.9999999,1.75,1,2,1
0,1.9999999,3.5899999,1,1,1
0,1.9999999,4.29,0,0,1
0,0,4.29,0,0,0
0,0,2.0999999,1,1,0
0,0,2.6099999,1,0,3
0,30.0000019,4.29,1,0,5
0,21,1.74,1,0,16
0,4.9999981,2.76,1,0,1
0,9,4.29,0,0,0
0,7.9999986,2.76,1,2,1
0,25,4.29,1,2,3
0,0,3.47,1,1,5
0,4.9999981,2.5799999,1,2,0
0,0.9999999,2.1400001,1,0,0
0,4.9999981,2.26,0,0,0
0,0,4.29,1,2,3
0,15.000001,4.29,1,0,3
0,30.0000019,4.29,0,0,3
0,1.9999999,2.2,1,0,0
0,6.0000005,1.8,1,2,3
0,0,2.0999999,1,2,1
0,13,4.29,1,1,1
0,0,4.29,0,0,0
0,12,2.0999999,1,1,0
0,30.0000019,4.29,1,2,2
0,4.9999981,1.8099999,1,1,1
0,9.999999,4.3400002,1,0,1
0,4.9999981,4.29,1,1,0
0,3.999999,2.5,1,2,1
0,13,2.05,1,2,4
