"survived","pclass","sex","fare","sibsp","parch"
0,3,"male",7.25,1,0
1,1,"female",71.2833,1,0
1,3,"female",7.925,0,0
1,1,"female",53.1,1,0
0,3,"male",8.05,0,0
0,3,"male",8.4583,0,0
0,1,"male",51.8625,0,0
0,3,"male",21.075,3,1
1,3,"female",11.1333,0,2
1,2,"female",30.0708,1,0
1,3,"female",16.7,1,1
1,1,"female",26.55,0,0
0,3,"male",8.05,0,0
0,3,"male",31.275,1,5
0,3,"female",7.8542,0,0
1,2,"female",16,0,0
0,3,"male",29.125,4,1
1,2,"male",13,0,0
0,3,"female",18,1,0
1,3,"female",7.225,0,0
0,2,"male",26,0,0
1,2,"male",13,0,0
1,3,"female",8.0292,0,0
1,1,"male",35.5,0,0
0,3,"female",21.075,3,1
1,3,"female",31.3875,1,5
0,3,"male",7.225,0,0
0,1,"male",263,3,2
1,3,"female",7.8792,0,0
0,3,"male",7.8958,0,0
0,1,"male",27.7208,0,0
1,1,"female",146.5208,1,0
1,3,"female",7.75,0,0
0,2,"male",10.5,0,0
0,1,"male",82.1708,1,0
0,1,"male",52,1,0
1,3,"male",7.2292,0,0
0,3,"male",8.05,0,0
0,3,"female",18,2,0
1,3,"female",11.2417,1,0
0,3,"female",9.475,1,0
0,2,"female",21,1,0
0,3,"male",7.8958,0,0
1,2,"female",41.5792,1,2
1,3,"female",7.8792,0,0
0,3,"male",8.05,0,0
0,3,"male",15.5,1,0
1,3,"female",7.75,0,0
0,3,"male",21.6792,2,0
0,3,"female",17.8,1,0
0,3,"male",39.6875,4,1
0,3,"male",7.8,0,0
1,1,"female",76.7292,1,0
1,2,"female",26,1,0
0,1,"male",61.9792,0,1
1,1,"male",35.5,0,0
1,2,"female",10.5,0,0
0,3,"male",7.2292,0,0
1,2,"female",27.75,1,2
0,3,"male",46.9,5,2
0,3,"male",7.2292,0,0
1,1,"female",80,0,0
0,1,"male",83.475,1,0
0,3,"male",27.9,3,2
0,1,"male",27.7208,0,0
1,3,"male",15.2458,1,1
1,2,"female",10.5,0,0
0,3,"male",8.1583,0,0
1,3,"female",7.925,4,2
0,3,"male",8.6625,2,0
0,2,"male",10.5,0,0
0,3,"female",46.9,5,2
0,2,"male",73.5,0,0
0,3,"male",14.4542,1,0
1,3,"male",56.4958,0,0
0,3,"male",7.65,0,0
0,3,"male",7.8958,0,0
0,3,"male",8.05,0,0
1,2,"male",29,0,2
1,3,"female",12.475,0,0
0,3,"male",9,0,0
1,3,"male",9.5,0,0
1,3,"female",7.7875,0,0
0,1,"male",47.1,0,0
1,2,"female",10.5,0,0
1,3,"female",15.85,3,0
0,3,"male",34.375,1,3
0,3,"male",8.05,0,0
1,1,"female",263,3,2
0,3,"male",8.05,0,0
0,3,"male",8.05,0,0
0,3,"male",7.8542,0,0
0,1,"male",61.175,1,0
0,3,"male",20.575,1,2
0,3,"male",7.25,0,0
0,3,"male",8.05,0,0
0,1,"male",34.6542,0,0
1,1,"male",63.3583,0,1
1,2,"female",23,0,1
0,2,"male",26,1,0
0,3,"female",7.8958,0,0
0,3,"male",7.8958,0,0
0,1,"male",77.2875,0,1
0,3,"male",8.6542,0,0
0,3,"male",7.925,2,0
0,3,"male",7.8958,0,0
1,3,"female",7.65,0,0
1,3,"male",7.775,0,0
0,3,"male",7.8958,0,0
1,3,"female",24.15,1,0
0,1,"male",52,0,0
0,3,"female",14.4542,1,0
0,3,"male",8.05,0,0
0,3,"female",9.825,1,0
0,3,"female",14.4583,0,0
0,3,"male",7.925,0,0
0,3,"male",7.75,0,0
0,2,"male",21,1,0
0,1,"male",247.5208,0,1
0,3,"female",31.275,4,2
0,2,"male",73.5,2,0
0,3,"male",8.05,0,0
0,2,"male",30.0708,1,0
1,2,"female",13,0,0
0,1,"male",77.2875,0,1
1,3,"male",11.2417,1,0
0,3,"male",7.75,0,0
1,3,"male",7.1417,0,0
1,3,"female",22.3583,1,1
0,3,"male",6.975,0,0
0,3,"male",7.8958,0,0
0,3,"male",7.05,0,0
0,3,"female",14.5,1,0
1,2,"female",26,1,0
0,2,"male",13,0,0
0,2,"male",15.0458,0,0
1,1,"female",26.2833,0,2
0,1,"male",53.1,1,0
0,3,"male",9.2167,0,0
0,1,"male",79.2,0,0
0,3,"female",15.2458,0,2
1,3,"female",7.75,0,0
1,3,"female",15.85,1,0
0,3,"male",6.75,0,0
0,2,"male",11.5,0,0
0,2,"male",36.75,1,1
1,3,"male",7.7958,0,0
0,3,"female",34.375,2,2
0,2,"male",26,0,2
0,2,"male",13,0,0
0,2,"male",12.525,0,0
1,1,"female",66.6,1,0
0,3,"male",8.05,0,0
0,3,"male",14.5,0,2
0,3,"male",7.3125,0,0
0,1,"male",61.3792,0,1
1,3,"female",7.7333,0,0
0,3,"male",8.05,0,0
0,3,"male",8.6625,0,0
0,3,"male",69.55,8,2
0,3,"male",16.1,0,1
1,2,"female",15.75,0,0
0,3,"male",7.775,0,0
0,3,"male",8.6625,0,0
0,3,"male",39.6875,4,1
1,3,"male",20.525,0,2
1,1,"female",55,0,1
0,3,"female",27.9,1,4
0,1,"male",25.925,0,0
0,3,"male",56.4958,0,0
0,1,"male",33.5,0,0
0,3,"male",29.125,4,1
1,3,"female",11.1333,1,1
0,3,"male",7.925,0,0
0,1,"male",30.6958,0,0
0,3,"male",7.8542,1,1
0,3,"male",25.4667,3,1
0,1,"female",28.7125,0,0
0,2,"male",13,0,0
0,3,"male",0,0,0
0,3,"female",69.55,8,2
0,2,"male",15.05,0,0
0,3,"male",31.3875,4,2
1,2,"male",39,2,1
1,3,"female",22.025,0,2
0,1,"male",50,0,0
1,3,"female",15.5,1,0
1,1,"male",26.55,0,0
0,3,"male",15.5,1,1
0,3,"male",7.8958,0,0
1,2,"female",13,0,0
0,2,"male",13,0,0
1,3,"female",7.8542,1,0
1,2,"male",26,1,1
1,1,"female",27.7208,0,0
1,1,"female",146.5208,0,0
0,3,"male",7.75,0,0
0,3,"male",8.4042,0,1
1,3,"female",7.75,0,0
0,2,"female",13,0,0
0,3,"male",9.5,0,0
0,3,"male",69.55,8,2
0,3,"male",6.4958,0,0
0,3,"male",7.225,0,0
1,3,"male",8.05,0,0
0,3,"female",10.4625,0,1
0,3,"male",15.85,1,0
1,3,"male",18.7875,0,0
1,3,"female",7.75,0,0
1,1,"male",31,0,0
0,3,"male",7.05,0,0
1,2,"female",21,0,0
0,3,"male",7.25,0,0
0,2,"male",13,0,0
0,3,"male",7.75,1,0
1,1,"female",113.275,1,0
1,3,"female",7.925,0,0
0,2,"male",27,1,0
1,1,"female",76.2917,0,0
0,2,"male",10.5,0,0
1,3,"male",8.05,0,0
0,2,"male",13,0,0
0,3,"male",8.05,0,0
0,3,"male",7.8958,0,0
1,1,"male",90,1,0
0,3,"male",9.35,0,0
1,2,"male",10.5,0,0
0,3,"male",7.25,0,0
0,2,"male",13,0,0
0,3,"female",25.4667,3,1
1,1,"female",83.475,1,0
0,3,"male",7.775,0,0
0,2,"male",13.5,0,0
1,3,"female",31.3875,4,2
0,2,"male",10.5,0,0
0,3,"female",7.55,0,0
0,2,"male",26,1,0
1,2,"female",26.25,0,2
0,2,"male",10.5,0,0
0,2,"male",12.275,0,0
0,3,"female",14.4542,1,0
1,3,"female",15.5,1,0
0,2,"male",10.5,0,0
0,3,"male",7.125,0,0
0,3,"male",7.225,0,0
0,1,"male",90,2,0
0,3,"female",7.775,0,0
1,2,"female",14.5,0,2
1,1,"male",52.5542,1,1
0,2,"male",26,1,0
0,3,"male",7.25,0,0
0,3,"female",10.4625,1,1
0,1,"male",26.55,0,0
0,3,"male",16.1,1,0
0,3,"female",20.2125,0,2
1,3,"female",15.2458,0,2
1,1,"female",79.2,0,0
1,1,"female",86.5,0,0
1,1,"female",512.3292,0,0
1,2,"female",26,0,1
0,3,"male",7.75,0,0
1,3,"male",31.3875,4,2
0,1,"male",79.65,1,1
0,1,"male",0,0,0
0,3,"female",7.75,0,0
0,2,"male",10.5,0,0
0,3,"male",39.6875,4,1
1,3,"male",7.775,1,0
1,1,"female",153.4625,0,1
1,1,"female",135.6333,0,0
0,1,"male",31,0,0
1,3,"male",0,0,0
1,2,"female",19.5,0,1
0,1,"male",29.7,0,1
1,3,"female",7.75,0,0
1,1,"female",77.9583,1,0
0,3,"female",7.75,0,0
0,2,"male",0,0,0
0,3,"male",29.125,4,1
1,3,"female",20.25,1,1
0,3,"male",7.75,0,0
0,3,"male",7.8542,0,0
0,3,"male",9.5,0,0
1,3,"male",8.05,0,0
0,1,"male",26,0,0
0,3,"male",8.6625,0,0
1,3,"male",9.5,0,0
0,3,"male",7.8958,0,0
1,2,"male",13,0,0
1,3,"female",7.75,0,0
1,1,"female",78.85,0,0
1,1,"female",91.0792,1,0
0,2,"male",12.875,0,0
0,3,"female",8.85,0,0
0,3,"male",7.8958,0,0
0,1,"male",27.7208,0,0
0,3,"male",7.2292,0,0
0,1,"female",151.55,1,2
1,1,"male",30.5,0,0
1,1,"female",247.5208,0,1
1,3,"female",7.75,0,0
1,3,"male",23.25,2,0
0,3,"male",0,0,0
1,2,"female",12.35,0,0
0,3,"male",8.05,0,0
1,1,"male",151.55,1,2
1,1,"female",110.8833,0,0
1,1,"female",108.9,1,0
0,2,"male",24,1,0
1,1,"female",56.9292,0,0
1,1,"female",83.1583,0,0
1,1,"female",262.375,2,2
0,2,"female",26,1,1
0,3,"male",7.8958,0,0
0,2,"male",26.25,1,1
1,3,"female",7.8542,0,0
1,2,"female",26,1,0
0,2,"male",14,0,0
1,1,"female",164.8667,0,2
1,1,"female",134.5,1,1
0,3,"male",7.25,0,0
0,3,"male",7.8958,0,0
1,2,"female",12.35,0,0
1,2,"female",29,1,1
0,3,"male",69.55,8,2
1,1,"female",135.6333,0,0
0,3,"male",6.2375,0,0
1,2,"female",13,0,0
1,3,"female",20.525,1,1
1,1,"female",57.9792,0,1
1,3,"female",23.25,2,0
0,1,"male",28.5,0,0
0,1,"male",153.4625,0,1
0,3,"male",18,2,0
1,1,"female",133.65,1,0
0,3,"male",7.8958,0,0
0,1,"male",66.6,1,0
1,1,"female",134.5,0,0
1,3,"male",8.05,0,0
0,1,"male",35.5,0,0
1,2,"male",26,1,1
1,1,"female",263,3,2
0,2,"male",13,0,0
0,2,"male",13,0,0
0,2,"male",13,0,0
1,2,"female",13,0,0
1,2,"female",13,0,0
1,3,"female",16.1,1,0
1,3,"male",15.9,1,1
0,3,"male",8.6625,0,0
0,3,"male",9.225,0,0
0,1,"male",35,0,0
0,3,"male",7.2292,1,1
0,3,"male",17.8,1,0
0,3,"male",7.225,0,0
0,3,"male",9.5,0,0
1,1,"female",55,0,1
0,2,"female",13,0,0
1,3,"female",7.8792,0,0
1,3,"female",7.8792,0,0
0,3,"male",27.9,1,4
0,2,"male",27.7208,1,0
0,3,"female",14.4542,0,1
0,3,"male",7.05,0,0
0,3,"male",15.5,1,0
0,3,"male",7.25,0,0
1,1,"female",75.25,1,0
1,3,"female",7.2292,0,0
1,3,"female",7.75,0,0
1,1,"female",69.3,0,0
1,1,"male",55.4417,1,0
0,3,"male",6.4958,1,0
0,3,"male",8.05,0,0
0,1,"male",135.6333,0,0
0,3,"female",21.075,3,1
1,1,"female",82.1708,1,0
1,3,"female",7.25,0,0
0,1,"male",211.5,0,2
0,3,"male",4.0125,0,0
0,3,"male",7.775,0,0
1,1,"female",227.525,0,0
1,3,"female",15.7417,0,2
0,3,"male",7.925,0,0
1,1,"female",52,1,0
0,3,"male",7.8958,0,0
0,2,"male",73.5,0,0
0,3,"male",46.9,5,2
1,2,"female",13,0,0
0,3,"male",7.7292,0,0
1,2,"female",12,0,0
1,1,"male",120,1,2
1,3,"male",7.7958,0,0
0,3,"male",7.925,2,0
1,1,"female",113.275,1,0
1,3,"female",16.7,0,2
0,3,"male",7.7958,0,0
0,3,"female",7.8542,0,0
0,2,"male",26,0,0
0,2,"male",10.5,0,0
1,2,"female",12.65,0,0
1,3,"male",7.925,0,0
0,3,"male",8.05,0,0
0,3,"female",9.825,1,0
0,3,"male",15.85,1,0
0,3,"female",8.6625,0,0
0,2,"male",21,1,0
0,3,"male",7.75,0,0
1,2,"male",18.75,1,1
0,3,"male",7.775,0,0
0,3,"female",25.4667,3,1
0,3,"male",7.8958,0,0
0,3,"male",6.8583,0,0
1,1,"female",90,1,0
0,2,"male",0,0,0
1,3,"male",7.925,0,0
0,3,"female",8.05,0,0
1,2,"female",32.5,1,1
1,2,"female",13,0,2
0,2,"male",13,0,0
0,3,"female",24.15,0,2
0,3,"male",7.8958,0,0
0,3,"male",7.7333,0,0
0,3,"male",7.875,0,0
0,3,"female",14.4,1,1
0,3,"male",20.2125,1,1
0,3,"male",7.25,0,0
1,2,"female",26,1,0
1,2,"female",26,0,0
0,3,"male",7.75,0,0
1,3,"male",8.05,0,0
1,1,"male",26.55,0,0
1,3,"female",16.1,1,0
1,2,"female",26,1,0
0,3,"male",7.125,0,0
0,1,"male",55.9,1,0
1,1,"female",120,1,2
0,3,"female",34.375,2,2
1,2,"female",18.75,2,3
0,1,"male",263,1,4
0,2,"male",10.5,0,0
1,2,"female",26.25,1,1
0,3,"male",9.5,0,0
0,3,"male",7.775,1,0
1,2,"female",13,0,0
1,3,"male",8.1125,0,0
1,1,"male",81.8583,0,2
1,2,"female",19.5,0,1
1,1,"male",26.55,0,0
1,3,"female",19.2583,2,1
1,1,"male",30.5,0,0
0,2,"male",27.75,1,2
0,3,"male",19.9667,1,0
0,1,"male",27.75,0,0
1,1,"male",89.1042,1,0
0,3,"male",8.05,0,0
1,3,"male",7.8958,0,0
0,1,"male",26.55,0,0
1,1,"female",51.8625,1,0
1,2,"female",10.5,0,0
0,3,"male",7.75,0,0
1,1,"male",26.55,0,0
0,3,"male",8.05,0,0
0,1,"male",38.5,0,0
0,2,"male",13,0,0
0,3,"male",8.05,0,0
0,3,"male",7.05,0,0
0,2,"male",0,0,0
0,1,"male",26.55,0,0
0,3,"male",7.725,0,0
1,3,"female",19.2583,2,1
0,3,"male",7.25,0,0
0,3,"male",8.6625,0,0
1,2,"female",27.75,1,2
1,2,"female",13.7917,0,0
0,3,"female",9.8375,0,0
0,1,"male",52,0,0
0,2,"male",21,1,0
0,3,"male",7.0458,1,0
0,3,"male",7.5208,0,0
1,3,"female",12.2875,0,1
0,3,"male",46.9,5,2
0,2,"male",0,0,0
0,3,"male",8.05,0,0
1,3,"female",9.5875,0,0
1,1,"male",91.0792,1,0
0,3,"female",25.4667,3,1
1,1,"female",90,1,0
0,1,"male",29.7,0,0
0,3,"male",8.05,0,0
1,3,"male",15.9,1,1
0,3,"male",19.9667,1,0
0,3,"male",7.25,0,0
0,1,"male",30.5,0,0
0,1,"male",49.5042,0,0
0,3,"male",8.05,0,0
0,3,"male",14.4583,0,0
1,1,"female",78.2667,1,0
0,3,"male",15.1,0,0
0,1,"female",151.55,1,2
0,3,"male",7.7958,0,0
0,3,"male",8.6625,0,0
0,3,"female",7.75,0,0
0,3,"female",7.6292,0,0
0,3,"female",9.5875,0,0
1,1,"female",86.5,0,0
0,1,"male",108.9,1,0
1,2,"female",26,0,2
1,1,"male",26.55,0,0
0,3,"male",22.525,0,0
1,3,"male",56.4958,0,0
1,3,"male",7.75,0,0
0,3,"male",8.05,0,0
1,1,"male",26.2875,0,0
1,1,"female",59.4,1,0
0,3,"male",7.4958,0,0
0,1,"male",34.0208,0,0
1,2,"female",10.5,0,0
0,3,"male",24.15,0,0
1,2,"female",26,1,0
0,3,"male",7.8958,0,0
1,1,"female",93.5,0,0
0,3,"male",7.8958,0,0
