"ent","code","year","educ","fert","pop"
"Afghanistan","AFG",2010,2.007349,5.816,31411743
"Albania","ALB",2010,10.66144,1.653,3204284
"Algeria","DZA",2010,7.103952,2.889,35468208
"Argentina","ARG",2010,10.15166,2.37,40412376
"Armenia","ARM",2010,11.0591,1.693,3092072
"Australia","AUS",2010,11.95779,1.936,22268384
"Austria","AUT",2010,10.05477,1.421,8393644
"Bahrain","BHR",2010,7.814315,2.164,1261835
"Bangladesh","BGD",2010,6.188976,2.328,148692131
"Barbados","BRB",2010,10.16706,1.781,273331
"Belgium","BEL",2010,11.65948,1.81,10712066
"Belize","BLZ",2010,11.40655,2.715,311627
"Benin","BEN",2010,3.266152,5.362,8849892
"Bolivia","BOL",2010,8.529408,3.2,9929849
"Botswana","BWA",2010,10.1605,2.884,2006945
"Brazil","BRA",2010,8.885223,1.805,194946470
"Brunei","BRN",2010,8.980621,1.838,398920
"Bulgaria","BGR",2010,11.13841,1.488,7494332
"Burundi","BDI",2010,2.877633,6.256,8382849
"Cambodia","KHM",2010,4.202942,2.875,14138255
"Cameroon","CMR",2010,6.248414,5.111,19598889
"Canada","CAN",2010,12.99251,1.635,34016593
"Central African Republic","CAF",2010,3.074577,5.215,4401051
"Chile","CHL",2010,10.73611,1.879,17113688
"China","CHN",2010,8.383776,1.59,1341335152
"Colombia","COL",2010,9.788342,2.01,46294841
"Congo","COG",2010,6.010641,4.948,4042899
"Costa Rica","CRI",2010,8.743934,1.922,4658887
"Cote d'Ivoire","CIV",2010,4.00035,5.269,19737800
"Croatia","HRV",2010,12.01641,1.516,4403330
"Cuba","CUB",2010,11.58187,1.639,11257979
"Cyprus","CYP",2010,12.28253,1.424,1103647
"Czech Republic","CZE",2010,12.52709,1.465,10492960
"Democratic Republic of Congo","COD",2010,2.898664,6.544,65965795
"Denmark","DNK",2010,11.93674,1.796,5550142
"Dominican Republic","DOM",2010,8.917242,2.597,9927320
"Ecuador","ECU",2010,8.482984,2.656,14464739
"Egypt","EGY",2010,7.258957,3.185,81121077
"El Salvador","SLV",2010,8.304948,2.265,6192993
"Estonia","EST",2010,12.42012,1.641,1341140
"Fiji","FJI",2010,10.87798,2.669,860623
"Finland","FIN",2010,11.19973,1.81,5364546
"France","FRA",2010,11.79715,1.988,62787427
"Gabon","GAB",2010,9.809809,4.083,1505463
"Gambia","GMB",2010,3.232567,5.707,1728394
"Germany","DEU",2010,12.24965,1.392,82302465
"Ghana","GHA",2010,6.885495,4.273,24391823
"Greece","GRC",2010,11.94519,1.414,11359346
"Guatemala","GTM",2010,4.853743,3.375,14388929
"Guyana","GUY",2010,9.644536,2.655,754493
"Haiti","HTI",2010,4.320821,3.325,9993247
"Honduras","HND",2010,6.769185,2.871,7600524
"Hong Kong","HKG",2010,12.99512,1.117,7053189
"Hungary","HUN",2010,11.95175,1.328,9983645
"Iceland","ISL",2010,12.39173,2.072,320136
"India","IND",2010,5.560464,2.601,1224614327
"Indonesia","IDN",2010,8.092866,2.483,239870937
"Iran","IRN",2010,9.051446,1.765,73973630
"Iraq","IRQ",2010,6.675963,4.562,31671591
"Ireland","IRL",2010,12.68353,2,4469900
"Israel","ISR",2010,12.73561,2.996,7418400
"Italy","ITA",2010,11.35855,1.426,60550848
"Jamaica","JAM",2010,11.00654,2.173,2741052
"Japan","JPN",2010,12.94536,1.371,126535920
"Jordan","JOR",2010,9.895662,3.663,6187227
