"y","x1","x2","x3","x4","x5"
-0.22391,0.0054599,0.38031,0.013514,0.20924,0.14671
0.84413,0.10737,-0.026533,0.045864,0.012987,-0.02719
1.0624,0.091116,0.18126,0.050171,-0.18867,-0.012082
-1.0417,0.44049,0.24596,0.0054154,-0.21292,0.10152
0.15655,-0.17051,0.14762,0.083632,-0.095286,-0.0078451
-0.13526,0.061605,-0.80413,-0.02595,0.29173,-0.078384
-1.3606,0.12638,-0.16897,-0.063031,0.076182,0.0042962
1.3991,0.064797,-0.19019,0.071634,-0.18449,0.11181
-1.0056,-0.10622,0.0082551,-0.11607,-0.20826,-0.086776
0.50154,-0.51076,-0.35754,-0.034462,0.22961,-0.046593
0.60929,0.32556,0.091196,-0.068468,-0.035706,-0.094308
-1.75,-0.24445,-0.66947,-0.090799,0.16729,0.16441
-1.219,-0.10441,0.13707,-0.052971,-0.084022,0.09383
1.0686,-0.21736,0.39201,-0.22454,0.15579,0.14188
0.45833,0.12526,0.044737,-0.024461,-0.14317,0.057047
0.95636,0.42179,0.25035,0.0069929,-0.20427,-0.062699
0.65222,0.10902,-0.3631,-0.06288,0.20816,0.022399
0.83658,-0.1554,-0.44234,0.060238,-0.1223,-0.1248
-1.4764,0.31275,-0.41068,0.021603,-0.057654,-0.11376
-0.78438,-0.59418,0.24324,0.1317,0.25573,0.019013
-0.93179,0.0026826,0.22345,-0.0038653,0.092077,0.083553
0.46726,-0.040704,-0.24669,0.065811,0.10447,-0.1296
-0.38191,-0.38006,0.26385,0.02923,0.09457,0.026349
-0.23857,-0.1705,-0.12011,0.19555,-0.012843,-0.0040943
0.17361,0.11465,0.22052,-0.0079639,-0.035616,0.086725
-0.50005,-0.058516,0.084612,0.029747,-0.029221,-0.08079
1.5547,-0.075682,0.087572,0.14566,0.25105,-0.037719
0.5581,0.1961,0.28097,-0.0099387,-0.25233,0.049889
-1.3807,-0.27485,-0.17932,-0.028728,0.063597,0.065956
1.3858,-0.041951,-0.14946,-0.014831,-0.064301,-0.065436
-0.92825,-0.49393,0.13217,0.028514,-0.16866,0.0073422
0.96109,-0.25092,0.60922,0.01522,-0.21612,0.011446
0.93851,0.30839,0.0087615,-0.19011,-0.19218,-0.044191
1.625,-0.019218,0.36176,-0.089025,0.10445,-0.10148
1.0483,-0.14495,0.22433,0.074017,0.051862,0.017552
1.4821,-0.10967,0.20886,-0.012035,-0.0053023,-0.018583
0.33111,0.23928,0.21805,0.049845,-0.044412,0.12682
-0.39163,0.16725,-0.06751,0.072348,-0.13964,0.1174
0.72953,-0.49818,0.76969,0.0023162,0.16786,0.11761
0.025937,-0.1917,0.32,0.21303,-0.093656,0.1494
-0.20325,0.17332,-0.65275,-0.016092,-0.068806,-0.080828
-0.99178,-0.19184,0.36181,0.10005,0.051852,0.02231
-1.9428,-0.17442,-0.017884,0.089623,0.00065339,0.070259
-1.5574,0.16672,-0.2478,-0.078257,-0.041317,-0.031775
-0.72281,-0.22086,0.39003,0.055083,-0.056897,0.19005
-1.7864,-0.084003,-0.92468,0.063298,-0.0092003,0.13454
-0.97879,0.38241,-0.58423,-0.026058,-0.029745,-0.014774
-1.2367,-0.46529,-0.018683,0.082746,-0.10558,0.035916
-0.84607,-0.48621,-0.14218,0.18702,-0.073466,-0.035912
1.2852,-0.26996,0.55301,0.19739,-0.010549,-0.12326
-1.2917,0.0956,0.054942,0.0097029,0.16866,-0.039518
-1.1396,0.059078,0.15983,-0.077611,0.073609,0.11747
-1.5963,-0.1601,-0.21221,-0.036843,0.1836,0.13391
-0.27952,-0.3246,0.094368,0.048599,-0.078196,-0.0011717
0.73413,-0.14423,0.12018,0.092135,-0.0032812,0.07205
-0.78792,0.25571,-0.085866,0.028928,0.13374,-0.1051
-0.97839,-0.13887,-0.46507,0.061805,-0.046889,0.053975
1.5472,-0.11387,0.20923,-0.0627,0.15333,0.12771
0.069125,-0.097344,0.2668,0.11165,0.021105,0.057728
-0.4843,-0.32137,0.741,-0.17342,0.12631,-0.042079
-0.9272,0.37338,-0.40419,-0.10237,-0.031933,0.18595
1.6021,0.080986,0.18949,-0.0035624,-0.034046,-0.1296
-1.0229,-0.30784,-0.27529,0.073957,-0.014145,0.0073077
0.72816,0.084992,0.46123,0.026298,-0.00073521,0.020204
0.11796,-0.80877,0.09809,0.087942,0.2137,0.16522
0.88771,0.21986,0.19145,0.012265,-0.09685,0.07639
-0.0267,-0.22901,-0.022963,-0.068334,0.053477,0.029707
-0.23999,-0.050584,0.50048,-0.0040892,0.091645,0.063092
0.13095,-0.084242,0.42867,0.16184,-0.1474,-0.046991
1.4171,-0.49503,0.32047,0.040355,0.054404,0.075817
1.4041,-0.064568,0.044808,-0.033087,0.0035663,0.038977
1.562,0.40894,-0.026312,-0.022337,-0.020052,-0.073666
1.0056,0.1326,0.26899,-0.023254,-0.18462,-0.016398
1.7387,0.48272,-0.13226,-0.059431,-0.16361,-0.024858
0.83192,-0.19625,0.37602,-0.059642,0.0025363,0.16049
-0.72281,-0.33178,0.039225,0.064674,0.012918,-0.045038
-0.33977,0.2063,-0.11463,-0.042027,0.068693,0.030368
1.5839,0.058018,-0.15606,0.017709,-0.20583,0.042655
-1.3449,0.23547,0.20728,-0.079513,-0.18783,0.037958
0.57464,0.070465,0.21679,0.013107,-0.14229,-0.025043
-0.32402,0.24156,-0.36119,-0.034514,0.14893,-0.15303
0.83941,0.14771,-0.21511,-0.044958,-0.15161,-0.061388
0.035782,0.53872,0.15641,0.044577,-0.1884,-0.17679
